ID	name	movies_95_04	main_genre	genres
1238	"Pertwee, Sean"	30	Thriller	Action:4,Comedy:1,Crime:1,Documentary:5,Drama:3,Fantasy:1,Horror:3,Mystery:1,NULL:1,Sci-Fi:1,Thriller:6,War:3
6600	"Lassen-Kahlke, Sofie"	18	Family	Comedy:3,Documentary:3,Drama:1,Family:4,Music:3,Musical:1,Romance:1,Short:1,Western:1
12253	"Union, Gabrielle"	18	Romance	Comedy:1,Crime:2,Documentary:2,Drama:2,Family:1,NULL:2,Romance:5,Short:1,Thriller:2
12702	"Voelklein, Joram"	15	Comedy	Action:1,Comedy:6,Crime:1,Drama:3,NULL:1,Romance:1,Thriller:2
16487	"Dajani, Nadia"	12	Romance	Comedy:2,Family:1,Romance:6,Short:2,Thriller:1
14201	"Mendonça, Maria Luisa"	11	Drama	Crime:1,Drama:4,NULL:4,Romance:2
16676	"Espinosa, Ace"	14	Action	Action:7,Drama:4,Fantasy:1,Romance:1,Thriller:1
13968	"Müller-Elmau, Katharina"	23	Crime	Comedy:4,Crime:5,Documentary:1,Drama:3,Family:1,NULL:3,Romance:3,Short:1,Thriller:2
8717	"Baker, Dylan (I)"	24	Drama	Action:1,Adventure:1,Comedy:3,Crime:1,Documentary:1,Drama:8,Romance:2,Short:1,Thriller:5,War:1
12048	"Roberts, Shawn (II)"	15	Drama	Comedy:1,Drama:5,Family:1,Fantasy:1,Horror:2,Music:1,NULL:1,Romance:1,Short:1,Thriller:1
13400	"Horse, Michael"	15	Mystery	Action:1,Adventure:1,Comedy:1,Crime:1,Drama:1,Family:1,Fantasy:1,Horror:1,Mystery:2,NULL:3,Short:1,Western:1
13655	"Tavernier, Nils"	18	Drama	Comedy:1,Drama:5,NULL:9,Short:3
10088	"Steadman, Alison"	23	Comedy	Animation:2,Comedy:4,Documentary:3,Drama:3,Family:1,Music:1,NULL:6,Short:2,Thriller:1
8583	"Holloway, Ann"	13	Drama	Comedy:1,Drama:6,NULL:4,Romance:1,Thriller:1
6537	"Misske, Ralph"	13	Drama	Comedy:2,Crime:3,Drama:5,Romance:1,Thriller:2
12005	"Raylene"	80	Adult	Adult:57,Comedy:1,Documentary:1,Drama:2,NULL:17,Romance:1,Sci-Fi:1
9835	"Bateson, Timothy"	14	Drama	Adventure:1,Comedy:1,Documentary:1,Drama:3,Fantasy:1,NULL:2,Romance:1,Short:2,Thriller:1,War:1
8316	"Krusiec, Michelle"	13	Comedy	Adventure:1,Comedy:3,Drama:2,Family:1,NULL:1,Romance:3,Short:2
9619	"Sancho, José"	37	Drama	Adventure:2,Animation:1,Comedy:5,Documentary:1,Drama:11,Family:2,Horror:2,NULL:3,Romance:2,Sci-Fi:1,Short:2,Thriller:4,War:1
4841	"Hudd, Roy"	10	Drama	Adventure:1,Comedy:1,Documentary:1,Drama:4,NULL:1,Thriller:2
17215	"Fulton, Niall Greig"	10	Drama	Comedy:1,Drama:2,Mystery:1,NULL:2,Romance:1,Short:3
3584	"Sporleder, Gregory"	12	Drama	Adventure:1,Comedy:2,Crime:1,Drama:4,Romance:1,Thriller:1,War:2
1240	"Fitzgerald, Michael (I)"	11	Drama	Drama:4,NULL:2,Romance:1,Sci-Fi:1,Thriller:2,War:1
7670	"Guzman, Gino Paul"	10	Romance	Comedy:1,Drama:3,NULL:3,Romance:3
5333	"Ryskjær, Claus"	15	Family	Comedy:1,Crime:3,Drama:1,Family:5,Musical:1,NULL:4
5262	"Helmuth, Frits"	11	Drama	Action:1,Drama:4,NULL:2,Short:4
